ROI,ATP7A,ATP7B,CDKN2A,COPS5,DBT,DLAT,DLD,DLST,FDX1,GCSH,GLS,LIAS,LIPT1,LIPT2,MTF1,NFE2L2,NLRP3,PDHA1,PDHB,SLC31A1
PanCK_49,6.009940388,6.5325439,5.87928951,21.68804575,8.100354436,11.8892299,25.21561945,8.884259704,9.014910582,1.829112292,21.16544224,7.447100046,8.49230707,6.009940388,10.97467375,50.16993715,4.050177218,22.34130014,11.8892299,10.32141936
PanCK_52,7.154375927,6.643349075,13.96806729,25.89202716,5.450953087,12.43498673,29.98024198,10.90190617,6.984033643,3.577187963,28.61750371,8.176429631,6.473006791,2.384791976,9.368825618,26.23271173,4.088214815,29.46921513,9.87985247,9.539167902
PanCK_53,7.415103913,5.080719347,5.629986304,26.91408087,5.080719347,26.50213065,30.07236587,8.376321086,11.25997261,3.432918478,50.94451021,7.82705413,7.140470434,2.746334782,9.474854999,31.30821652,5.218036087,25.12896326,16.06605848,12.77045674
PanCK_55,5.336412586,5.104394647,3.248251139,19.02547096,10.67282517,10.44080723,29.46627819,8.584663725,9.976771356,2.320179385,26.91408087,9.512735479,7.656591971,3.944304955,15.77721982,39.67506749,4.176322893,17.63336333,12.29695074,10.20878929
PanCK_57,4.859486823,6.728520217,1.682130054,14.39155713,8.59755361,9.905876986,37.00686119,12.52252374,7.289230235,5.607100181,25.60575749,8.59755361,5.79400352,7.102326896,11.58800704,33.64260108,2.80355009,18.5034306,8.971360289,12.3356204
PanCK_59,7.915906138,3.957953069,13.45704043,20.58135596,3.166362455,16.62340289,37.20475885,14.24863105,14.24863105,0.791590614,39.57953069,3.957953069,2.374771841,3.166362455,16.62340289,44.32907437,2.374771841,28.4972621,14.24863105,22.9561278
PanCK_62,9.361419432,9.361419432,1.170177429,12.87195172,9.361419432,9.361419432,24.57372601,15.21230658,8.776330718,3.510532287,21.64828244,5.850887145,6.43597586,2.925443573,7.606153289,20.47810501,7.606153289,16.96757272,12.87195172,18.13775015
PanCK_63,8.499183432,4.957857002,3.54132643,16.99836686,5.666122288,17.70663215,33.28846844,8.499183432,11.33224458,0.708265286,48.16203945,8.499183432,7.08265286,1.416530572,11.33224458,32.58020316,4.957857002,18.41489744,9.915714004,13.45704043
PanCK_65,8.223746932,3.364260108,2.242840072,18.69033394,5.233293502,16.82130054,25.41885415,11.96181372,7.849940253,3.364260108,45.6044148,8.971360289,6.728520217,1.495226715,9.718973647,21.30698069,2.616646751,21.68078737,7.476133574,13.45704043
PanCK_67,11.08226859,3.957953069,5.541134296,14.24863105,3.166362455,18.99817473,30.08044332,12.66544982,7.124315524,4.749543683,34.03839639,5.541134296,5.541134296,3.166362455,7.124315524,11.87385921,4.749543683,15.83181228,16.62340289,9.499087365
PanCK_69,7.849940253,24.6712408,8.971360289,15.13917049,6.728520217,16.26059052,24.11053078,8.410650271,12.89633042,1.682130054,14.57846047,6.728520217,7.289230235,2.242840072,6.728520217,40.93183132,4.485680145,16.26059052,18.5034306,50.46390163
PanCK_72,6.564409968,5.251527974,1.641102492,14.76992243,3.610425482,12.80059944,34.79137283,21.66255289,3.282204984,2.625763987,30.52450635,9.190173955,8.533732958,3.282204984,11.48771744,20.3496709,6.564409968,26.25763987,9.190173955,10.83127645
PanCK_74,11.01030581,7.340203873,9.786938497,12.23367312,3.670101936,22.02061162,28.13744818,18.35050968,11.01030581,6.116836561,13.45704043,6.116836561,6.116836561,3.670101936,13.45704043,58.72163098,7.340203873,24.46734624,18.35050968,11.01030581
PanCK_75,7.246098695,4.658206304,28.72560554,17.8564575,6.210941739,12.42188348,24.58497772,11.38672652,8.281255652,1.293946196,31.05470869,4.140627826,5.175784782,2.329103152,9.316412608,39.85354282,3.364260108,20.44434989,11.38672652,17.33887902
PanCK_77,7.246098695,6.210941739,1.035156956,22.25587456,2.070313913,13.97461891,36.74807195,16.5625113,4.140627826,3.623049348,19.66798217,6.728520217,8.281255652,2.587892391,8.281255652,24.32618848,5.175784782,34.16017956,22.77345304,17.08008978
PanCK_79,5.382816174,16.14844852,2.691408087,8.07422426,2.691408087,5.382816174,5.382816174,16.14844852,8.07422426,8.07422426,18.83985661,5.382816174,8.07422426,2.691408087,10.76563235,8.07422426,13.45704043,5.382816174,2.691408087,10.76563235
PanCK_82,4.893469249,8.563571185,14.68040775,28.13744818,6.116836561,20.79724431,40.3711213,14.68040775,4.893469249,3.670101936,30.5841828,14.68040775,6.116836561,1.223367312,7.340203873,35.47765205,7.340203873,14.68040775,22.02061162,15.90377506
CD45_1,4.485680145,8.971360289,4.485680145,4.485680145,4.485680145,17.94272058,22.42840072,8.971360289,4.485680145,8.971360289,13.45704043,4.485680145,4.485680145,4.485680145,17.94272058,13.45704043,4.485680145,22.42840072,8.971360289,13.45704043
CD45_4,10.76563235,6.728520217,6.055668195,6.728520217,4.03711213,17.49415256,18.83985661,18.16700459,8.747076282,7.401372239,31.62404502,4.709964152,8.07422426,2.691408087,8.07422426,17.49415256,4.03711213,15.4755965,14.12989246,21.53126469
CD45_6,7.689737391,7.689737391,9.612171738,5.767303043,13.45704043,3.844868695,17.30190913,24.99164652,11.53460609,1.922434348,32.68138391,1.922434348,3.844868695,9.612171738,9.612171738,13.45704043,5.767303043,9.612171738,13.45704043,19.22434348
CD45_10,8.971360289,8.971360289,4.485680145,8.971360289,13.45704043,22.42840072,31.39976101,8.971360289,13.45704043,4.485680145,13.45704043,4.485680145,8.971360289,4.485680145,8.971360289,26.91408087,4.485680145,13.45704043,26.91408087,17.94272058
